directory,filename,title,file_type,full_path
/media/zappatistas20/Elements/Thesis/Data/films/Captain America Civil War 2016 1080p BluRay x264 DTS-JYK,Captain America Civil War 2016 1080p BluRay x264 DTS-JYK.mkv,captain america civil war 2016 blu ray dts jyk,mkv,/media/zappatistas20/Elements/Thesis/Data/films/Captain America Civil War 2016 1080p BluRay x264 DTS-JYK/Captain America Civil War 2016 1080p BluRay x264 DTS-JYK.mkv
/media/zappatistas20/Elements/Thesis/Data/films/Captain America The Winter Soldier (2014) [1080p],Captain.America.The.Winter.Soldier.2014.1080p.BluRay.x264.YIFY.mp4,captain america the winter soldier 2014 blu ray yify,mp4,/media/zappatistas20/Elements/Thesis/Data/films/Captain America The Winter Soldier (2014) [1080p]/Captain.America.The.Winter.Soldier.2014.1080p.BluRay.x264.YIFY.mp4
/media/zappatistas20/Elements/Thesis/Data/films/Catch Me If You Can (2002),Catch.Me.If.You.Can.2002.720p.BluRay.x264.YIFY.mp4,catch me if you can 2002 blu ray yify,mp4,/media/zappatistas20/Elements/Thesis/Data/films/Catch Me If You Can (2002)/Catch.Me.If.You.Can.2002.720p.BluRay.x264.YIFY.mp4
/media/zappatistas20/Elements/Thesis/Data/films/Charlie Chaplin - The Great Dictator (1940),The.Great.Dictator.1940.720p.BrRip.x264.YIFY.mp4,the great dictator 1940 br rip yify,mp4,/media/zappatistas20/Elements/Thesis/Data/films/Charlie Chaplin - The Great Dictator (1940)/The.Great.Dictator.1940.720p.BrRip.x264.YIFY.mp4
/media/zappatistas20/Elements/Thesis/Data/films/Chinatown (1974),Chinatown.1974.720p.HDTV.x264.YIFY.mp4,chinatown 1974 yify,mp4,/media/zappatistas20/Elements/Thesis/Data/films/Chinatown (1974)/Chinatown.1974.720p.HDTV.x264.YIFY.mp4
/media/zappatistas20/Elements/Thesis/Data/films/City.Of.God.2002.720p.Bluray.x264.anoXmous,City.Of.God.2002.720p.Bluray.x264.anoXmous.mp4,city of god 2002 ano xmous,mp4,/media/zappatistas20/Elements/Thesis/Data/films/City.Of.God.2002.720p.Bluray.x264.anoXmous/City.Of.God.2002.720p.Bluray.x264.anoXmous.mp4
/media/zappatistas20/Elements/Thesis/Data/films/Cool Hand Luke 1967 BRRip,Cool Hand Luke - zeberzee.mp4,cool hand luke zeberzee,mp4,/media/zappatistas20/Elements/Thesis/Data/films/Cool Hand Luke 1967 BRRip/Cool Hand Luke - zeberzee.mp4
/media/zappatistas20/Elements/Thesis/Data/films/Das Boot Director's Cut (1981) [1080p] x264 - Jalucian,Das Boot Director's Cut (1981) [1080p] x264 - Jalucian.mp4,das boot director s cut 1981 jalucian,mp4,/media/zappatistas20/Elements/Thesis/Data/films/Das Boot Director's Cut (1981) [1080p] x264 - Jalucian/Das Boot Director's Cut (1981) [1080p] x264 - Jalucian.mp4
/media/zappatistas20/Elements/Thesis/Data/films/Dead Poets Society (1989),Dead.Poets.Society.1989.720p.BluRay.x264.YIFY.mp4,dead poets society 1989 blu ray yify,mp4,/media/zappatistas20/Elements/Thesis/Data/films/Dead Poets Society (1989)/Dead.Poets.Society.1989.720p.BluRay.x264.YIFY.mp4
/media/zappatistas20/Elements/Thesis/Data/films/Der Untergang (Downfall) (2004) [1080p] x264 - Jalucian,Der Untergang (Downfall) (2004) [1080p] x264 - Jalucian.mp4,der untergang downfall 2004 jalucian,mp4,/media/zappatistas20/Elements/Thesis/Data/films/Der Untergang (Downfall) (2004) [1080p] x264 - Jalucian/Der Untergang (Downfall) (2004) [1080p] x264 - Jalucian.mp4
/media/zappatistas20/Elements/Thesis/Data/films/Die.Hard.1988.720p.BluRay.x264-NeZu,die.hard.1988.720p.bluray.x264-nezu.mkv,die hard 1988 nezu,mkv,/media/zappatistas20/Elements/Thesis/Data/films/Die.Hard.1988.720p.BluRay.x264-NeZu/die.hard.1988.720p.bluray.x264-nezu.mkv
/media/zappatistas20/Elements/Thesis/Data/films/Django Unchained (2012) [1080p],Django.Unchained.2012.1080p.BluRay.x264.YIFY.mp4,django unchained 2012 blu ray yify,mp4,/media/zappatistas20/Elements/Thesis/Data/films/Django Unchained (2012) [1080p]/Django.Unchained.2012.1080p.BluRay.x264.YIFY.mp4
/media/zappatistas20/Elements/Thesis/Data/films/Double.Indemnity.1944.720p.HDTV.x264-x0r,Double.Indemnity.1944.720p.HDTV.x264-x0r.mkv,double indemnity 1944 x0r,mkv,/media/zappatistas20/Elements/Thesis/Data/films/Double.Indemnity.1944.720p.HDTV.x264-x0r/Double.Indemnity.1944.720p.HDTV.x264-x0r.mkv
/media/zappatistas20/Elements/Thesis/Data/films/Eternal Sunshine of the Spotless Mind (2004),Eternal.Sunshine.of.the.Spotless.Mind.2004.720p.BrRip.x264.BOKUTOX.YIFY.mp4,eternal sunshine of the spotless mind 2004 br rip bokutox yify,mp4,/media/zappatistas20/Elements/Thesis/Data/films/Eternal Sunshine of the Spotless Mind (2004)/Eternal.Sunshine.of.the.Spotless.Mind.2004.720p.BrRip.x264.BOKUTOX.YIFY.mp4
/media/zappatistas20/Elements/Thesis/Data/films/Fargo (1996) [1080p],Fargo.1996.1080p.BluRay.x264.YIFY.mp4,fargo 1996 blu ray yify,mp4,/media/zappatistas20/Elements/Thesis/Data/films/Fargo (1996) [1080p]/Fargo.1996.1080p.BluRay.x264.YIFY.mp4
/media/zappatistas20/Elements/Thesis/Data/films/Fight Club (1999) [1080p],Fight.Club.10th.Anniversary.Edition.1999.1080p.BrRip.x264.YIFY.mp4,fight club 10th anniversary edition 1999 br rip yify,mp4,/media/zappatistas20/Elements/Thesis/Data/films/Fight Club (1999) [1080p]/Fight.Club.10th.Anniversary.Edition.1999.1080p.BrRip.x264.YIFY.mp4
/media/zappatistas20/Elements/Thesis/Data/films/Finding Nemo (2003),Finding.Nemo.2003.720p.BluRay.x264.YIFY.mp4,finding nemo 2003 blu ray yify,mp4,/media/zappatistas20/Elements/Thesis/Data/films/Finding Nemo (2003)/Finding.Nemo.2003.720p.BluRay.x264.YIFY.mp4
/media/zappatistas20/Elements/Thesis/Data/films/For a Few Dollars More (1965) 720p.BRrip.Sujaidr (pimprg),For a Few Dollars More (1965) 720p.BRrip.Sujaidr (pimprg).mkv,for a few dollars more 1965 b rrip sujaidr pimprg,mkv,/media/zappatistas20/Elements/Thesis/Data/films/For a Few Dollars More (1965) 720p.BRrip.Sujaidr (pimprg)/For a Few Dollars More (1965) 720p.BRrip.Sujaidr (pimprg).mkv
