film,track_name,artist,url
almost famous,Mona Lisas And Mad Hatters,Elton John,https://open.spotify.com/track/4lBV4EO5yZvv1bDlk38hjK
almost famous,My Cherie Amour,Stevie Wonder,https://open.spotify.com/track/7njZh7zfFuSHCufWu6OzID
almost famous,The Rain Song - 2012 Remaster,Led Zeppelin,https://open.spotify.com/track/3JLrri1xSCui3bzITDJbkk
almost famous,Bron-Yr-Aur - 1993 Remaster,Led Zeppelin,https://open.spotify.com/track/6kpMYSZ58MkohGS7OkO4A9
almost famous,Tangerine - 1990 Remaster,Led Zeppelin,https://open.spotify.com/track/5QIQOa1D5ciyi30rqdynWq
blues brothers,Somebody Loan Me A Dime,Fenton Robinson,https://open.spotify.com/track/71zy5nvPveBvRVhR5IduJW
blues brothers,She Caught the Katy,The Blues Brothers,https://open.spotify.com/track/0Xrk5qLPV212FdgjlttQLM
blues brothers,Shake Your Money Maker,Elmore James,https://open.spotify.com/track/2VxnY6jbl0SckkZp9wrNF7
blues brothers,The Old Landmark (feat. James Brown with Rev. James Cleveland Choir),The Blues Brothers,https://open.spotify.com/track/5FuQNRtqHqrsDL3UCRbewQ
blues brothers,Jailhouse Rock,The Blues Brothers,https://open.spotify.com/track/4VYwOqIPhjtjucRgU48dv0
blues brothers,The Old Landmark,C&C Productions,https://open.spotify.com/track/24RZkLmynkamYiMXPBoIoQ
blues brothers,Soothe Me,Sam & Dave,https://open.spotify.com/track/3pL0x4IUqemNfzJPn5Hvbi
blues brothers,"Hold On, I'm Comin'",Sam & Dave,https://open.spotify.com/track/05sVrpO8zmtycAzEkttoSt
blues brothers,Peter Gunn Theme,The Blues Brothers,https://open.spotify.com/track/68IH3sYANDxWiaayhtt3oR
blues brothers,Let the Good Times Roll,Louis Jordan,https://open.spotify.com/track/1dKPQL4gHgahgs8FrqAOvv
blues brothers,Boom Boom,John Lee Hooker,https://open.spotify.com/track/2CU8WUplpBbehlCvSIYmlG
blues brothers,Think,The Blues Brothers,https://open.spotify.com/track/6kie23fo40j9gBNWGWg5Dc
blues brothers,Shake a Tail Feather (feat. Ray Charles),The Blues Brothers,https://open.spotify.com/track/4L2laOh04x7g7WjEtY8PkZ
blues brothers,Boogie Chillun,John Lee Hooker,https://open.spotify.com/track/0AyuXBS2btC46SOUgnOZ2N
blues brothers,Your Cheatin' Heart,Patsy Cline,https://open.spotify.com/track/1DWadR94BvNa8Ba7c3VILO
blues brothers,Gimme Some Lovin',The Blues Brothers,https://open.spotify.com/track/53p1SzTC0sBH9HAPD8MOOu
blues brothers,Theme from Rawhide,The Blues Brothers,https://open.spotify.com/track/4P60VVMdkWcwGMBC7r4Kgp
blues brothers,I'm Walkin',Fats Domino,https://open.spotify.com/track/4z63jB7Ucg9HXMoKmOaN64
